rule_id,source_path,source_sha256,source_section,source_line,classification,consumer_tasks,statement
JUMP-01,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,2. 점프맵의 지지물,21,NORMATIVE,SV5_13-SV5_20;SV5_41-SV5_45,JUMP-01: ONE_WAY만으로 상승 루트를 구성하는 방식을 폐기한다.
JUMP-02,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,2. 점프맵의 지지물,22,NORMATIVE,SV5_13-SV5_20;SV5_41-SV5_45,JUMP-02: 각 점프맵의 실제 도전 루트에 SOLID 지지물을 포함한다. 착지·도약·매달림 중 실제 이동에 사용되어야 한다.
JUMP-03,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,2. 점프맵의 지지물,23,NORMATIVE,SV5_13-SV5_20;SV5_41-SV5_45,JUMP-03: 고체를 장식으로만 두거나 도달할 수 없는 곳에 두어 혼합 조건을 충족했다고 하지 않는다.
JUMP-04,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,2. 점프맵의 지지물,24,NORMATIVE,SV5_13-SV5_20;SV5_41-SV5_45,JUMP-04: ONE_WAY 발판은 계속 사용할 수 있다. 지지물 종류를 SOLID / ONE_WAY로 데이터와 충돌 레이어에 구분한다.
JUMP-05,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,2. 점프맵의 지지물,25,UNSET_NUMERIC_RATIO,SV5_13-SV5_20;SV5_41-SV5_45,JUMP-05: 고체 비율·개수의 일률적인 숫자는 아직 정하지 않는다. 완주 가능한 혼합 루트와 읽기 쉬운 착지 지형을 우선한다.
JUMP-06,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,2. 점프맵의 지지물,26,NORMATIVE,SV5_13-SV5_20;SV5_41-SV5_45,JUMP-06: 매달림은 실제 SOLID의 노출된 안전 모서리에만 지정한다. ONE_WAY 측면·배경·위험면은 Grab 지지물이 아니다.
JUMP-07,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,2. 점프맵의 지지물,27,AUTHORING_DEFAULT,SV5_13-SV5_20;SV5_41-SV5_45,JUMP-07: 각 점프맵에는 실제 도전 루트에 연결된 Jump+Grab 동작을 최소 하나 포함하는 것을 초기 제작 기준으로 삼는다.
V5R-018,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,2. 점프맵의 지지물,28,AUTHORING_DEFAULT,SV5_13-SV5_20;SV5_41-SV5_45,위 최소 1회는 제작·검토를 위한 명시적 운영 기준이다. 사용자가 특정 비율이나 동작 횟수를 지정한 것으로 기록하지 않는다.
V5R-019,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,3. 매달림과 이동 한계,32,NORMATIVE,SV5_13-SV5_20;SV5_41-SV5_45,"기존 Player 설정을 그대로 사용한다. 일반 상승은 +1칸, Jump+Grab으로 최대 +2칸 상승을 기준으로 한다."
V5R-020,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,3. 매달림과 이동 한계,33,NORMATIVE,SV5_13-SV5_20;SV5_41-SV5_45,"매달림 모서리의 접근 방향, 손이 닿는 위치, 몸체가 매달리는 공간, 당겨 올라서는 공간, 발바닥 착지 지지면을 함께 기록한다."
V5R-021,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,3. 매달림과 이동 한계,34,NORMATIVE,SV5_13-SV5_20;SV5_41-SV5_45,두 칸 높은 고체가 있다는 사실만으로 Jump+Grab 성공이라고 하지 않는다.
V5R-022,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,3. 매달림과 이동 한계,35,NORMATIVE,SV5_13-SV5_20;SV5_41-SV5_45,연속된 두 개의 +1칸 이동과 단일 +2칸 Grab 이동을 구분한다.
V5R-023,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,3. 매달림과 이동 한계,36,NORMATIVE,SV5_13-SV5_20;SV5_41-SV5_45,고체 아래면·옆면도 충돌하므로 ONE_WAY를 SOLID로 바꾼 뒤 같은 궤적이 유지된다고 가정하지 않는다.
V5R-024,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,3. 매달림과 이동 한계,37,NORMATIVE,SV5_13-SV5_20;SV5_41-SV5_45,매달림 해제·재점프·실패 낙하·다음 지지물로의 이동도 검사한다.
JUMP-08,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,4. 1~2칸 외곽 굴곡,41,NORMATIVE,SV5_13-SV5_20;SV5_41-SV5_45,JUMP-08: 내부가 긴 네 변의 완전한 사각형으로만 보이지 않도록 벽·천장·바닥의 일부 경계를 1~2칸 이동한다.
JUMP-09,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,4. 1~2칸 외곽 굴곡,42,NORMATIVE,SV5_13-SV5_20;SV5_41-SV5_45,JUMP-09: 작은 벽 조각이 무작위로 한 칸씩 교대로 튀어나오는 톱니무늬 대신 몇 칸 길이의 국소 구간을 완만하게 눌러 만든다.
JUMP-10,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,4. 1~2칸 외곽 굴곡,43,AUTHORING_DEFAULT,SV5_13-SV5_20;SV5_41-SV5_45,JUMP-10: 초기 제작 기준은 서로 다른 두 경계 구간 이상에 굴곡을 주는 것이다. 전체 외곽의 모든 셀을 흔들 필요는 없다.
V5R-028,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,4. 1~2칸 외곽 굴곡,44,AUTHORING_DEFAULT,SV5_13-SV5_20;SV5_41-SV5_45,위 두 구간 기준은 형태 차이가 실제로 보이도록 하는 운영 기준이며 사용자 지정 개수가 아니다.
JUMP-11,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,4. 1~2칸 외곽 굴곡,45,NORMATIVE,SV5_13-SV5_20;SV5_41-SV5_45,JUMP-11: 기본은 예약 범위 안쪽으로 들어오는 굴곡이다. 바깥으로 나가는 변화는 미리 확보한 여유 안에서만 허용한다.
JUMP-12,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,4. 1~2칸 외곽 굴곡,46,NORMATIVE,SV5_13-SV5_20;SV5_41-SV5_45,"JUMP-12: 기존 출입구의 개구 셀·진입 높이, 외벽의 충돌 분리, Type0와 주변 보호 영역을 침범하지 않는다."
JUMP-13,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,4. 1~2칸 외곽 굴곡,47,NORMATIVE,SV5_13-SV5_20;SV5_41-SV5_45,JUMP-13: 외곽 굴곡은 점프궤적·Grab·착지 여유의 보호 마스크 밖에서만 허용한다.
JUMP-14,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,4. 1~2칸 외곽 굴곡,48,NORMATIVE,SV5_13-SV5_20;SV5_41-SV5_45,JUMP-14: 1~2칸을 찌그러뜨릴 여유가 없으면 다른 경계 구간을 고른다. 월드 전체를 늘리거나 이웃 장소를 몰래 밀지 않는다.
V5R-033,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,4. 1~2칸 외곽 굴곡,49,REFERENCE_SIZE,SV5_13-SV5_20;SV5_41-SV5_45,승인 예시 #012의 24×32 점유는 첫 수정 기준이다. 모든 점프맵 크기를 24×32로 제한하는 규칙은 아니다.
V5R-034,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,4. 1~2칸 외곽 굴곡,50,NORMATIVE,SV5_13-SV5_20;SV5_41-SV5_45,외곽 형상 난수와 루트 선택 난수는 분리해 국소 모양 수정이 관계없는 전체 배치 변경으로 번지지 않게 한다.
V5R-035,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,5. 간격과 완주 검사,54,NORMATIVE,SV5_13-SV5_20;SV5_41-SV5_45,gap_air는 지지물의 서로 마주 보는 경계 사이 빈 타일 수다. 중심 간격이나 도약점 간 거리로 몰래 바꾸지 않는다.
V5R-036,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,5. 간격과 완주 검사,55,NORMATIVE,SV5_13-SV5_20;SV5_41-SV5_45,"takeoff·landing은 실제 발바닥 위치/구간, rise는 출발과 목표 지지면 높이 차로 기록한다."
V5R-037,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,5. 간격과 완주 검사,56,UNVERIFIED_MOVEMENT_CANDIDATE,SV5_13-SV5_20;SV5_41-SV5_45,"초기 후보 J1=(gap_air 3, rise 1), J2=(4,1), J3=(2,2+Grab)를 구분해 검증한다."
V5R-038,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,5. 간격과 완주 검사,57,NORMATIVE,SV5_13-SV5_20;SV5_41-SV5_45,가로 3~4칸 후보는 기존 실측 최대 수평 거리만으로 보장하지 않는다. 실패한 후보의 간격·발판 폭·중간 지지를 수정한다.
V5R-039,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,5. 간격과 완주 검사,58,NORMATIVE,SV5_13-SV5_20;SV5_41-SV5_45,Player 속도·점프 높이·콜라이더·낙하 피해를 임의로 바꾸어 후보를 통과시키지 않는다.
V5R-040,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,5. 간격과 완주 검사,59,NORMATIVE,SV5_13-SV5_20;SV5_41-SV5_45,전체 몸체 sweep/cast로 천장·목표 고체 아래면·옆면·모서리 걸림을 검사한다.
V5R-041,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,5. 간격과 완주 검사,60,NORMATIVE,SV5_13-SV5_20;SV5_41-SV5_45,재시도 경로는 정상 낙하 피해와 복귀 동작을 포함한다. 자동 귀환·무적·낙하 피해 면제를 가정하지 않는다.
V5R-042,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,5. 간격과 완주 검사,61,NORMATIVE,SV5_13-SV5_20;SV5_41-SV5_45,미검증 도전 구간은 필수 진행을 막는 유일한 길로 배치하지 않는다.
V5R-043,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,5. 간격과 완주 검사,62,NORMATIVE,SV5_13-SV5_20;SV5_41-SV5_45,PLANNED / STATIC_SCREEN / PLAYER_VERIFIED를 구분하며 그림과 AIR flood 검사는 마지막 상태의 근거가 아니다.
V5R-044,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,6. 그대로 유지하는 전체 맵 규칙,68,NORMATIVE,SV5_03-SV5_45,| 전체 구성 | 큰 장소를 먼저 설계한 뒤 청크·패턴으로 분해. 큰 외부 AIR 대신 일반 방·굴·다수 통로로 연결 |
V5R-045,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,6. 그대로 유지하는 전체 맵 규칙,69,NORMATIVE,SV5_03-SV5_45,"| 핵심 역할 | Start·세 자원·Village·Forge·공유 Seal/Boss·Exit 선예약, 세 자원 6가지 순서와 정상 복귀 |"
V5R-046,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,6. 그대로 유지하는 전체 맵 규칙,70,NORMATIVE,SV5_03-SV5_45,| 임의 연결 | 지름길은 거리 단축만 허용. 제작·봉인·보스 조건을 우회하지 않음 |
V5R-047,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,6. 그대로 유지하는 전체 맵 규칙,71,NORMATIVE,SV5_03-SV5_45,| 보통 공간 | 보상·목표 없는 방과 말단 허용. 접근·지지·복귀 책임은 유지 |
V5R-048,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,6. 그대로 유지하는 전체 맵 규칙,72,NORMATIVE,SV5_03-SV5_45,| 채움 | 구조 두께 3~4칸 목표와 국소 접합 예외. 최종 모든 겹치는 6×6 SOLID 검사. 외부 AIR나 점 구멍으로 편법 처리 금지 |
V5R-049,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,6. 그대로 유지하는 전체 맵 규칙,73,NORMATIVE,SV5_03-SV5_45,| 종류 분포 | 가까운 독립 지형의 같은 Family 연속 출현 억제. 긴 동굴의 청크 분해와 구별 |
V5R-050,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,6. 그대로 유지하는 전체 맵 규칙,74,NORMATIVE,SV5_03-SV5_45,"| 허브 | 약 12×30, 좌우 세 높이대 6~7칸 개구, 목표 6연결·여건상 4~6 허용, 실제 계수나무 Grab 지지 |"
V5R-051,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,6. 그대로 유지하는 전체 맵 규칙,75,NORMATIVE,SV5_03-SV5_45,"| 도서관 | 약 18~20×20~25 열린 내부, 층간 3~5칸, 대각 발판 계단과 비충돌 책장 배경 |"
V5R-052,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,6. 그대로 유지하는 전체 맵 규칙,76,NORMATIVE,SV5_03-SV5_45,"| 계단 | 닿으면 상승, 아래키로 하강. 전용 상태·접촉·끝점 동작 검증 |"
V5R-053,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,6. 그대로 유지하는 전체 맵 규칙,77,NORMATIVE,SV5_03-SV5_45,"| 주거지 | 약 5×3 방, 좌우 층 높이 비대칭·지그재그, 위판정·압사 방지 엘리베이터 |"
V5R-054,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,6. 그대로 유지하는 전체 맵 규칙,78,NORMATIVE,SV5_03-SV5_45,"| 토끼 마을 | 승인 예시 36×24와 8개 건물, 기존 Village 의미·슬롯에 바인딩 |"
V5R-055,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,6. 그대로 유지하는 전체 맵 규칙,79,NORMATIVE,SV5_03-SV5_45,"| 협곡 | 상부 약 10칸·깊이 20칸, 아래로 좁아지는 좌우 벽, 갈비뼈형 반복 돌출 금지 |"
V5R-056,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,6. 그대로 유지하는 전체 맵 규칙,80,NORMATIVE,SV5_03-SV5_45,"| 높은 회랑 | 높이 15~20칸, 큰 내부와 비충돌 장식 기둥·샹들리에 |"
V5R-057,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,6. 그대로 유지하는 전체 맵 규칙,81,NORMATIVE,SV5_03-SV5_45,"| 동굴 | 가로 약 50칸·상하 변화 20칸, 5~9칸 불규칙 통로·공중 장애물 |"
V5R-058,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,6. 그대로 유지하는 전체 맵 규칙,82,NORMATIVE,SV5_03-SV5_45,| 쥐 소굴 | 둥근 공동·약 2칸 연결과 무아이템 점프·매달림 완주 |
V5R-059,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,6. 그대로 유지하는 전체 맵 규칙,83,NORMATIVE,SV5_03-SV5_45,| 샛길 | 약 2칸 유효 여유·길이 20~50칸·불규칙한 연결·국소 점프 머리 여유 |
V5R-060,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,6. 그대로 유지하는 전체 맵 규칙,84,NORMATIVE,SV5_03-SV5_45,"| 목장 | 약 10~12×6~7, 매우 희귀, 비충돌 울타리·장식 동물·양치기, 호수 인접 선호 |"
V5R-061,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,6. 그대로 유지하는 전체 맵 규칙,85,NORMATIVE,SV5_03-SV5_45,"| 호수 | 폭 약 10~15·깊이 1~4, 중간 출현, 물 이동에 의존하지 않는 필수 경로 |"
V5R-062,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,6. 그대로 유지하는 전체 맵 규칙,86,NORMATIVE,SV5_03-SV5_45,"| 농장 | 약 6~8×4~5 재배실 여러 개, 낮은 출현, 호수 인접 선호 |"
V5R-063,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,6. 그대로 유지하는 전체 맵 규칙,87,NORMATIVE,SV5_03-SV5_45,"| 철도 | 약 60단위 이동·3칸 통로·상하 이동은 반드시 대각, 열차 한쪽 종점·호출 없음 |"
V5R-064,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,6. 그대로 유지하는 전체 맵 규칙,88,NORMATIVE,SV5_03-SV5_45,"| 탈선 | 완료된 이동 칸당 0.07%, 열차 폭발·소멸, 피해 2·나뒹굴기, 드문 단선은 별개 |"
V5R-065,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,6. 그대로 유지하는 전체 맵 규칙,89,NORMATIVE,SV5_03-SV5_45,| 캡슐·감옥 | Type0의 약 7×5 봉쇄 공간. 폭발·특수 접근만 허용. 감옥은 해방 전 실루엣 |
V5R-066,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,6. 그대로 유지하는 전체 맵 규칙,90,NORMATIVE,SV5_03-SV5_45,"| 핀볼 | 선택된 협곡 중 10% 변형, NPC·하부 보드 공간만 예약, 정상 길은 핀볼 결과와 독립 |"
V5R-067,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,6. 그대로 유지하는 전체 맵 규칙,91,NORMATIVE,SV5_03-SV5_45,"| 절구 작업장 | 정확한 36×16 예약. 내부·게임 기능 미설계, 전체를 임시 AIR/SOLID로 굽지 않음 |"
V5R-068,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,6. 그대로 유지하는 전체 맵 규칙,93,NORMATIVE,SV5_03-SV5_45,각 세부 계약은 `reference/v4/`의 기존 문서를 함께 따른다. 새로운 점프맵 규칙과 승인 기준은 이 문서가 우선한다.
V5R-069,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,6. 그대로 유지하는 전체 맵 규칙,94,NORMATIVE,SV5_03-SV5_45,v4 문서의 “개념도만 존재” 설명은 이번 승인된 정적 셀 예시 등록으로 갱신한다. Unity 완료를 의미하지 않는다.
V5R-070,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,7. 결과물과 완료 판단,98,NORMATIVE,SV5_41-SV5_45,점프맵의 수정 전후 동일 좌표 확대도와 SOLID·ONE_WAY·Grab 표시를 각각 출력한다.
V5R-071,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,7. 결과물과 완료 판단,99,NORMATIVE,SV5_41-SV5_45,승인된 전체 구조가 유지되는지 확인하도록 전체도와 A1~D4 16개 구간 확대도를 계속 제공한다.
V5R-072,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,7. 결과물과 완료 판단,100,NORMATIVE,SV5_41-SV5_45,정본 셀 하나에서 CSV·Scene·검토용 이미지를 생성해 서로 다른 지형이 보고되지 않게 한다.
V5R-073,MCP/INPUTS/SV5/SPACE_V5_RULES.md,4cc8e65a23f511b05a91e74af75a5c2ade522f266bd9ce3a9bb5da8108f0ee54,7. 결과물과 완료 판단,101,NORMATIVE,SV5_41-SV5_45,기존 6×6 위반 0·공개 셀 연결·봉인/Type0 검사 수치를 수정 후 검사 없이 재사용하지 않는다.
