order,task_id,phase,title,completion,status
36,SV5_36_PRISON,장치와 특수 구역,Type0 감옥 공간 제작,약 7×5 봉쇄 공간과 해방 전 실루엣 슬롯·상태 접점을 만든다. 생명체 AI·조력 콘텐츠는 후속이다.,PLANNED_NOT_INSTALLED
37,SV5_37_PINBALL_SHELL,장치와 특수 구역,협곡 10% 핀볼 구역 예약,선택된 협곡의 변형으로 운영 NPC·하부 보드·정상 통과 공간을 예약한다. 핀볼 게임 자체는 구현하지 않는다.,PLANNED_NOT_INSTALLED
38,SV5_38_WORKSHOP,장치와 특수 구역,36×16 절구 작업장 예약,정확한 예약 영역과 소유를 기록하고 내부 미설계 상태를 AIR나 SOLID 완성 지형으로 바꾸지 않는다.,PLANNED_NOT_INSTALLED
39,SV5_39_RABBIT_VILLAGE,장치와 특수 구역,토끼 마을의 8개 건물 구성,승인 예시의 36×24 구성과 좌우 비대칭 8개 건물을 기준으로 기존 Village 정본에 맞춰 적용한다.,PLANNED_NOT_INSTALLED
40,SV5_40_ELEVATOR,장치와 특수 구역,위판정·압사 방지 엘리베이터 구현,주거지·마을 정차점의 승하차와 위판정 발판을 연결하고 천장 끼임·위아래 압사를 방지한다.,PLANNED_NOT_INSTALLED
41,SV5_41_COMPOSE,합성·검증·인계,624×416 전체 지형 합성,같은 최종 셀 데이터에 장소·보통 공간·샛길·지름길·장치를 합성하고 승인된 공간 구성 방식을 유지한다.,PLANNED_NOT_INSTALLED
42,SV5_42_FINAL_SCAN,합성·검증·인계,최종 보호·채움·연결 검사,"전체 겹침, 공개 출입구, 6×6 SOLID, Type0 봉쇄, 예약 영역, 지지·머리 여유를 경계 너머까지 검사한다.",PLANNED_NOT_INSTALLED
43,SV5_43_WORLD_BAKE,합성·검증·인계,CSV·Unity 씬·콜라이더 생성,최종 정본 하나에서 전체 CSV·지형 레이어·Player·카메라를 생성하고 재생성 동일성과 점프맵 SOLID/O/Grab 대응을 검사한다.,PLANNED_NOT_INSTALLED
44,SV5_44_WORLD_PLAYER,합성·검증·인계,전체 진행과 무아이템 완주 검증,세 자원 6가지 순서·복귀·제련·봉인·보스·출구와 실제 이동을 검증하고 미구현 장치 의존을 제거한다.,PLANNED_NOT_INSTALLED
45,SV5_45_REVIEW_HANDOFF,합성·검증·인계,번호 PDF와 결과 인계 발행,전체도·16구간 확대도·점프맵 수정 전후·실제 통과 기록·남은 제한과 원본 SHA를 함께 발행한다.,PLANNED_NOT_INSTALLED
