task_id,role,actual_or_proposed_path,status,change_reason,predecessor_or_successor
RMAP10_SMALL_RUN,seeded run harness,Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/RunGeneration/RmapSmallRunHarness.cs,PROPOSED,connect variable small maps to actual player exit,RMAP09_COMPOSER
RMAP11_POOL500,pattern pool selector,Assets/_Game/Map/Runtime/WorldGeneration/MicroPatterns/RmapPatternPool500.cs,PROPOSED,select distinct role-qualified 500 pool,RMAP10_SMALL_RUN
RMAP12_WORLD_DATA,world state model,Assets/_Game/Map/Runtime/WorldGeneration/RuntimeState/RmapWorldData.cs,PROPOSED,separate seeded base terrain from modified state,RMAP11_POOL500
RMAP13_WORLD_GRAPH,world graph planner,Assets/_Game/Map/Runtime/WorldGeneration/SectorPlanning/RmapWorldGraphPlanner.cs,PROPOSED,encode resource forge seal boss and exit order,RMAP12_WORLD_DATA
RMAP14_BIOMES,biome profile catalog,Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/RmapBiomeProfileCatalog.cs,PROPOSED,bind four biomes density and boundaries,RMAP13_WORLD_GRAPH
RMAP15_SPECIALS,special reservation planner,Assets/_Game/Map/Runtime/WorldGeneration/SpecialRegions/RmapSpecialReservationPlanner.cs,PROPOSED,reserve eight fixed special regions and access,RMAP14_BIOMES
RMAP16_CLUSTERS,cluster assembly planner,Assets/_Game/Map/Runtime/WorldGeneration/TerrainClusters/RmapClusterAssemblyPlanner.cs,PROPOSED,assemble major terrain secrets and active density,RMAP15_SPECIALS
RMAP17_WORLD_BAKE,world Tilemap executor,Assets/_Game/Map/Runtime/WorldGeneration/Baking/RmapWorldBakeExecutor.cs,PROPOSED,extend small real bake into 624x416 world bake,RMAP16_CLUSTERS
RMAP18_WORLD_STATE,world lifecycle executor,Assets/_Game/Map/Runtime/WorldGeneration/RuntimeState/RmapWorldLifecycleExecutor.cs,PROPOSED,apply regeneration modification and chunk lifecycle,RMAP17_WORLD_BAKE
RMAP19_WORLD_PLAY,world play validation harness,Assets/_Game/Map/Runtime/WorldGeneration/Validation/RmapWorldPlayValidationHarness.cs,PROPOSED,validate six-resource representative play and handoff,RMAP18_WORLD_STATE
